 SSTREAM(uvh/supg) (time|dt)=(0|0.01): Converged to given tolerance of 1e-15 with r=2.58484e-16 in 4 iterations and in 1.82426  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.01|0.01): Converged to given tolerance of 1e-15 with r=2.36701e-16 in 4 iterations and in 1.75292  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.02|0.01): Converged to given tolerance of 1e-15 with r=2.12511e-17 in 5 iterations and in 2.54359  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.03|0.01): Converged to given tolerance of 1e-15 with r=2.90044e-17 in 4 iterations and in 1.7446  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.04|0.01): Converged to given tolerance of 1e-15 with r=6.32457e-17 in 3 iterations and in 1.294  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.05|0.01): Converged to given tolerance of 1e-15 with r=4.01987e-16 in 3 iterations and in 1.28301  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.06|0.01): Converged to given tolerance of 1e-15 with r=2.30279e-16 in 4 iterations and in 1.72603  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.07|0.01): Converged to given tolerance of 1e-15 with r=3.26587e-16 in 4 iterations and in 1.72942  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.08|0.01): Converged to given tolerance of 1e-15 with r=1.02539e-17 in 4 iterations and in 1.7365  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.09|0.01): Converged to given tolerance of 1e-15 with r=1.06227e-16 in 3 iterations and in 1.29316  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.1|0.01): Converged to given tolerance of 1e-15 with r=5.17235e-17 in 4 iterations and in 1.73259  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.11|0.01): Converged to given tolerance of 1e-15 with r=2.70622e-16 in 4 iterations and in 1.72202  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.12|0.01): Converged to given tolerance of 1e-15 with r=1.47447e-18 in 4 iterations and in 1.73354  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.13|0.01): Converged to given tolerance of 1e-15 with r=2.03104e-17 in 4 iterations and in 1.72108  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.14|0.01): Converged to given tolerance of 1e-15 with r=3.1413e-17 in 3 iterations and in 1.30836  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.15|0.01): Converged to given tolerance of 1e-15 with r=4.67503e-17 in 5 iterations and in 2.15909  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.16|0.01): Converged to given tolerance of 1e-15 with r=2.03062e-16 in 3 iterations and in 1.29137  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.17|0.01): Converged to given tolerance of 1e-15 with r=6.92163e-21 in 3 iterations and in 1.30052  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.18|0.01): Converged to given tolerance of 1e-15 with r=1.2414e-18 in 3 iterations and in 1.30376  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.19|0.01): Converged to given tolerance of 1e-15 with r=1.26221e-16 in 4 iterations and in 1.71328  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.2|0.01): Converged to given tolerance of 1e-15 with r=1.72735e-16 in 4 iterations and in 1.77393  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.21|0.01): Converged to given tolerance of 1e-15 with r=2.18239e-16 in 3 iterations and in 1.29726  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.22|0.01): Converged to given tolerance of 1e-15 with r=1.85834e-18 in 3 iterations and in 1.29019  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.23|0.01): Converged to given tolerance of 1e-15 with r=2.09547e-16 in 2 iterations and in 0.852557  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.24|0.01): Converged to given tolerance of 1e-15 with r=8.01977e-19 in 2 iterations and in 0.863035  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.25|0.01): Converged to given tolerance of 1e-15 with r=3.89987e-16 in 1 iterations and in 0.442456  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.26|0.02): Converged to given tolerance of 1e-15 with r=9.31895e-16 in 2 iterations and in 0.864236  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.28|0.02): Converged to given tolerance of 1e-15 with r=1.05891e-16 in 6 iterations and in 2.58425  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.3|0.02): Converged to given tolerance of 1e-15 with r=1.28417e-18 in 4 iterations and in 1.72467  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.32|0.02): Converged to given tolerance of 1e-15 with r=2.02723e-17 in 4 iterations and in 1.71479  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.34|0.02): Converged to given tolerance of 1e-15 with r=1.05173e-16 in 8 iterations and in 3.61703  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.36|0.02): Converged to given tolerance of 1e-15 with r=2.46794e-16 in 4 iterations and in 1.73309  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.38|0.02): Converged to given tolerance of 1e-15 with r=3.11192e-17 in 4 iterations and in 1.71272  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.4|0.02): Converged to given tolerance of 1e-15 with r=9.88622e-17 in 3 iterations and in 1.28101  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.42|0.02): Converged to given tolerance of 1e-15 with r=5.02625e-19 in 3 iterations and in 1.30044  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.44|0.02): Converged to given tolerance of 1e-15 with r=3.74715e-16 in 3 iterations and in 1.29271  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.46|0.02): Converged to given tolerance of 1e-15 with r=1.51013e-16 in 5 iterations and in 2.16033  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.48|0.02): Converged to given tolerance of 1e-15 with r=6.7301e-18 in 4 iterations and in 1.72463  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.5|0.02): Converged to given tolerance of 1e-15 with r=2.44812e-20 in 4 iterations and in 1.73392  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.52|0.02): Converged to given tolerance of 1e-15 with r=1.26034e-17 in 3 iterations and in 1.29221  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.54|0.02): Converged to given tolerance of 1e-15 with r=3.78051e-18 in 2 iterations and in 0.867555  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.56|0.02): Converged to given tolerance of 1e-15 with r=2.06263e-17 in 5 iterations and in 2.1552  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.58|0.02): Converged to given tolerance of 1e-15 with r=2.95994e-16 in 6 iterations and in 2.62839  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.6|0.02): Converged to given tolerance of 1e-15 with r=9.39936e-17 in 4 iterations and in 1.74702  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.62|0.02): Converged to given tolerance of 1e-15 with r=9.02874e-21 in 4 iterations and in 1.72757  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.64|0.02): Converged to given tolerance of 1e-15 with r=1.9042e-16 in 4 iterations and in 1.71895  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.66|0.02): Converged to given tolerance of 1e-15 with r=2.08349e-16 in 3 iterations and in 1.29085  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.68|0.02): Converged to given tolerance of 1e-15 with r=2.74779e-16 in 9 iterations and in 4.10221  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.7|0.02): Converged to given tolerance of 1e-15 with r=7.46016e-17 in 4 iterations and in 1.73141  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.72|0.02): Converged to given tolerance of 1e-15 with r=6.38011e-17 in 5 iterations and in 2.1624  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.74|0.02): Converged to given tolerance of 1e-15 with r=7.69478e-18 in 4 iterations and in 1.71706  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.76|0.02): Converged to given tolerance of 1e-15 with r=3.41788e-17 in 3 iterations and in 1.28073  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.78|0.02): Converged to given tolerance of 1e-15 with r=2.01903e-20 in 3 iterations and in 1.30409  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.8|0.02): Converged to given tolerance of 1e-15 with r=7.39738e-18 in 3 iterations and in 1.29827  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.82|0.02): Converged to given tolerance of 1e-15 with r=1.30963e-16 in 4 iterations and in 1.72664  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.84|0.02): Converged to given tolerance of 1e-15 with r=9.3353e-18 in 4 iterations and in 1.72019  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.86|0.02): Converged to given tolerance of 1e-15 with r=5.79136e-17 in 6 iterations and in 2.5846  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.88|0.02): Converged to given tolerance of 1e-15 with r=1.61577e-19 in 4 iterations and in 1.72497  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.9|0.02): Converged to given tolerance of 1e-15 with r=1.4486e-16 in 4 iterations and in 1.72033  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.92|0.02): Converged to given tolerance of 1e-15 with r=4.44321e-21 in 4 iterations and in 1.72667  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.94|0.02): Converged to given tolerance of 1e-15 with r=6.85834e-21 in 3 iterations and in 1.29205  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.96|0.02): Converged to given tolerance of 1e-15 with r=2.41129e-16 in 2 iterations and in 0.867575  sec 
 SSTREAM(uvh/supg) (time|dt)=(0.98|0.02): Converged to given tolerance of 1e-15 with r=7.43634e-16 in 7 iterations and in 3.12769  sec 
 SSTREAM(uvh/supg) (time|dt)=(1|0.02): Converged to given tolerance of 1e-15 with r=3.74077e-20 in 4 iterations and in 1.72047  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.02|0.02): Converged to given tolerance of 1e-15 with r=4.75919e-16 in 6 iterations and in 2.57152  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.04|0.02): Converged to given tolerance of 1e-15 with r=1.60556e-18 in 4 iterations and in 1.72599  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.06|0.02): Converged to given tolerance of 1e-15 with r=8.55618e-18 in 4 iterations and in 1.71838  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.08|0.02): Converged to given tolerance of 1e-15 with r=1.95414e-21 in 4 iterations and in 1.72555  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.1|0.02): Converged to given tolerance of 1e-15 with r=1.96662e-18 in 3 iterations and in 1.28852  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.12|0.02): Converged to given tolerance of 1e-15 with r=1.54327e-18 in 2 iterations and in 0.869401  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.14|0.02): Converged to given tolerance of 1e-15 with r=4.70526e-17 in 3 iterations and in 1.2917  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.16|0.02): Converged to given tolerance of 1e-15 with r=1.1279e-16 in 5 iterations and in 2.15123  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.18|0.02): Converged to given tolerance of 1e-15 with r=1.58552e-16 in 8 iterations and in 3.63  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.2|0.02): Converged to given tolerance of 1e-15 with r=7.73832e-17 in 4 iterations and in 1.71133  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.22|0.02): Converged to given tolerance of 1e-15 with r=2.91851e-17 in 5 iterations and in 2.14074  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.24|0.02): Converged to given tolerance of 1e-15 with r=4.77423e-17 in 5 iterations and in 2.13807  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.26|0.02): Converged to given tolerance of 1e-15 with r=7.88732e-16 in 4 iterations and in 1.72584  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.28|0.02): Converged to given tolerance of 1e-15 with r=4.02879e-20 in 4 iterations and in 1.71703  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.3|0.02): Converged to given tolerance of 1e-15 with r=5.46251e-21 in 4 iterations and in 1.71596  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.32|0.02): Converged to given tolerance of 1e-15 with r=3.67752e-17 in 5 iterations and in 2.16823  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.34|0.02): Converged to given tolerance of 1e-15 with r=3.08574e-16 in 5 iterations and in 2.12713  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.36|0.02): Converged to given tolerance of 1e-15 with r=1.79592e-16 in 3 iterations and in 1.28426  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.38|0.02): Converged to given tolerance of 1e-15 with r=6.24434e-17 in 5 iterations and in 2.15225  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.4|0.02): Converged to given tolerance of 1e-15 with r=2.23851e-18 in 4 iterations and in 1.71661  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.42|0.02): Converged to given tolerance of 1e-15 with r=1.4646e-16 in 7 iterations and in 3.01159  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.44|0.02): Converged to given tolerance of 1e-15 with r=1.2743e-20 in 4 iterations and in 1.70529  sec 
