Feedback=0
  
    Time    Numerical    Analytical      Error  
    ____    _________    __________    _________

      0         10           10                0
    0.1         11       11.052        -0.051709
    0.2      12.15       12.214        -0.064028
    0.3     13.422       13.499        -0.076088
    0.4     14.828       14.918        -0.089872
    0.5     16.382       16.487         -0.10571
    0.6     18.097       18.221         -0.12387
    0.7     19.993       20.138         -0.14469
    0.8     22.087       22.255         -0.16851
    0.9       24.4       24.596         -0.19574
      1     26.956       27.183         -0.22683


Feedback=1

     Time    Numerical    Analytical       Error   
    ____    _________    __________    ___________

      0         10           10                  0
    0.1      11.05       11.052         -0.0017092
    0.2     12.213       12.214         -0.0011526
    0.3     13.498       13.499        -0.00045401
    0.4     14.919       14.918         0.00040431
    0.5     16.489       16.487          0.0014483
    0.6     18.224       18.221          0.0027074
    0.7     20.142       20.138          0.0042154
    0.8     22.261       22.255          0.0060108
    0.9     24.604       24.596          0.0081373
      1     27.193       27.183           0.010645

Feedback=2

   Time    Numerical    Analytical      Error   
    ____    _________    __________    __________

      0         10           10                 0
    0.1     11.053       11.052        0.00092238
    0.2     12.216       12.214         0.0020389
    0.3     13.502       13.499         0.0033801
    0.4     14.923       14.918          0.004981
    0.5     16.494       16.487         0.0068814
    0.6      18.23       18.221         0.0091265
    0.7     20.149       20.138          0.011768
    0.8      22.27       22.255          0.014864
    0.9     24.615       24.596          0.018482
      1     27.206       27.183          0.022696

Feedback=3

     Time    Numerical    Analytical      Error  
    ____    _________    __________    _________

      0         10           10                0
    0.1     11.053       11.052        0.0009224
    0.2     12.216       12.214        0.0020389
    0.3     13.502       13.499        0.0033801
    0.4     14.923       14.918        0.0049811
    0.5     16.494       16.487        0.0068814
    0.6      18.23       18.221        0.0091266
    0.7     20.149       20.138         0.011768
    0.8      22.27       22.255         0.014864
    0.9     24.615       24.596         0.018482
      1     27.206       27.183         0.022696

 
